TransactionID,CustomerID,AccountNumber,TransactionTypeID,TransactionAmount,UsageQuantity,TDUAmount,CreatedDate
21677,1474,COMM-101654,4,27.55,0,0,2025-11-07
33258,2276,COMM-102554,4,37.68,0,0,2025-11-07
12722,870,RESI-100970,4,1.67,0,0,2025-11-06
18699,1277,SMALLCOMM-101429,4,14.96,0,0,2025-11-06
54599,3775,SMALLCOMM-104221,4,12.53,0,0,2025-11-06
63375,4374,SMALLCOMM-104913,4,21.03,0,0,2025-11-06
32259,2200,SMALLCOMM-102475,4,8.23,0,0,2025-11-05
32313,2203,SMALLCOMM-102478,4,15.97,0,0,2025-11-05
44698,3081,SMALLCOMM-103452,4,20.86,0,0,2025-11-05
10989,744,RESI-100832,4,2.13,0,0,2025-11-04
20661,1403,SMALLCOMM-101572,4,5.43,0,0,2025-11-04
31086,2102,SMALLCOMM-102371,4,5.39,0,0,2025-11-04
57710,4003,SMALLCOMM-104474,4,18.33,0,0,2025-11-04
63121,4356,SMALLCOMM-104895,4,13.38,0,0,2025-11-04
71040,2108,RESI-105983,4,3.41,0,0,2025-11-04
74293,3597,RESI-106078,4,0.47,0,0,2025-11-04
11982,819,RESI-100915,4,3.41,0,0,2025-11-03
20402,1391,COMM-101557,4,33.51,0,0,2025-11-03
21450,1459,COMM-101636,4,28.26,0,0,2025-11-03
32423,2212,SMALLCOMM-102487,4,19.87,0,0,2025-11-03
34802,2385,RESI-102673,4,1.42,0,0,2025-11-03
73335,4994,COMM-105601,4,11.2,0,0,2025-11-03
5838,398,RESI-100445,4,13.25,0,0,2025-11-02
10161,691,COMM-100771,4,26.06,0,0,2025-11-02
11116,753,SMALLCOMM-100842,4,14.21,0,0,2025-11-02
19153,1306,SMALLCOMM-101460,4,18.39,0,0,2025-11-02
24945,1694,RESI-101907,4,2.01,0,0,2025-11-02
30754,2084,COMM-102350,4,26.43,0,0,2025-11-02
40132,2756,COMM-103096,4,27.06,0,0,2025-11-02
44991,3105,SMALLCOMM-103477,4,7.37,0,0,2025-11-02
52480,3621,COMM-104052,4,9.08,0,0,2025-11-02
52736,3639,SMALLCOMM-104070,4,12.53,0,0,2025-11-02
56436,3904,COMM-104370,4,34.62,0,0,2025-11-02
67065,4635,RESI-105209,4,2,0,0,2025-11-02
20384,1391,COMM-101556,4,29.2,0,0,2025-11-01
21139,1437,COMM-101611,4,47.28,0,0,2025-11-01
26879,1814,SMALLCOMM-102044,4,30.28,0,0,2025-11-01
48152,3340,SMALLCOMM-103737,4,28.23,0,0,2025-11-01
51803,3581,SMALLCOMM-104003,4,4.4,0,0,2025-11-01
55961,3869,RESI-104331,4,0.89,0,0,2025-11-01
56806,3930,SMALLCOMM-104396,4,30.86,0,0,2025-11-01
57376,3974,SMALLCOMM-104443,4,17.63,0,0,2025-11-01
58484,4050,SMALLCOMM-104534,4,10.59,0,0,2025-11-01
58685,4064,SMALLCOMM-104551,4,6.36,0,0,2025-11-01
59386,4109,COMM-104602,4,21.02,0,0,2025-11-01
69185,4775,RESI-105364,4,3.67,0,0,2025-11-01
74126,1661,RESI-106069,4,2.43,0,0,2025-11-01
28944,1954,RESI-102203,4,1.26,0,0,2025-10-31
28962,1955,COMM-102204,4,20.81,0,0,2025-10-31
38870,2667,COMM-102991,4,25.46,0,0,2025-10-31
39969,2741,RESI-103079,4,2.24,0,0,2025-10-31
44845,3095,SMALLCOMM-103466,4,8.93,0,0,2025-10-31
47209,3274,RESI-103665,4,2.44,0,0,2025-10-31
49492,3424,COMM-103830,4,19.1,0,0,2025-10-31
57213,3960,SMALLCOMM-104429,4,27.38,0,0,2025-10-31
60556,4192,COMM-104701,4,9.83,0,0,2025-10-31
21121,1437,COMM-101610,4,9.17,0,0,2025-10-30
62739,4334,SMALLCOMM-104869,4,11.63,0,0,2025-10-30
71521,1208,RESI-106009,4,3.33,0,0,2025-10-30
